brěskъ;brzask;
brězgati;;
brězgъ;brzazg;brzazg
bręčati;brzęczeć;
bręknǫti;brzęknąć;
bręždžati;;
bričь;;
bridъkъ;brzydki;
brinъ;brzyn;
briti;;
britva;brzytwa;
brьna;;
brьvь;;
brьvьno;bierzwionko;biermo
brьzgati;;
broditi;brodzić;
brodъ;bród;
brojiti;broić;
bronъ;brony;
broščь;brocz;broszcz
brudъ;brud;
brujati;;
brusidlo;;
brusiti;brusić;
brusьnica;brusznica;
brusъ;brus;
brutъ;;
brъkati;brykać;
brъsati;;
brъzgati;;
bry;brew;
brysadlo;;
brysati;;
bryzgati;bryzgać;
břuxo;brzuch;brzucho
břuxъ;;
bučati;buczeć;
buditi;budzić;
buga;;
bugrъ;;
bujati;bujać;
bujiti;;
bujь;;
bujьnъ;bujny;
bukъ;buk;
bukъvica;bukwica;bukwica
buky;bukwa;bukiew
buniti;;
buřa;burza;
buřelomъ;;
buza;buzia;
bъči;;
bъčьka;beczka;baczka
bъděti;;bdzieć
Bъdigostь;Bydgoszcz;Bdzigost
bъdьňa;bodnia;
bъdrъ;;
bъgati;;
bъno;;
bъrkati;;barkać
bъrkъ;bark;bark
bъrna;;
bъrščь;barszcz;barszcz
bъrtь;barć;barć
bъrъ;ber;ber
bъrzъ;bardzo;barzy
bъzikati;bzykać;
bъzъ;bez;bez
byčati;byczeć;
bydlo;bydło;bydło
byjati;;
bykъ;byk;
bylьje;;byle
bystrъ;bystry;
byti;być;być
byvati;bywać;
byvolъ;bawół;bawół
capati;capać;
cěditi;cedzić;
cěglъ;;
cělěti;;
cělina;;
cěliti;ocalić;celić
cělovati;całować;
cělъ;cały;
cěna;cena;
cěniti;cenić;
cěpiti;;
cěpъ;cep;
cěsařь;cesarz;
cěsta;;
cěstiti;;
cěva;cewa;
cěvь;;cew
cęta;cętka;
cica;;
cicati;cycać;
cicь;cyc;cyc
cьrky;cerkiew;
čadъ;czad;
čaja;;
čajati;;
čajaznь;;
čajica;;
čajьka;czajka;
čakati;czekać;czakać
čapati;сzарić;
čapľa;czapla;
čara;czara;
čarodějь;czarodziej;
čarovati;czarować;
čarъ;czar;
časъ;czas;czas
čaša;czasza;
čavъka;;
čekati;czekać;
čelnъ;człon;
čelo;czoło;
čelověkъ;człowiek;
čeľadь;czeladź;
čeľustь;czeluść;
čemerъ;cemir;czemier
čepьcь;czepiec;
čepъ;czop;
čerda;czereda;czrzoda
čerdъ;;
čermъša;trzemucha;
čermъxa;czeremcha;
černъ;trzon;czrzan
čerpaxa;;czerepacha
čerpti;;*czrzeć
čerpъ;czerep;trzop
čerslo;;trzosła
čersti;;
čersъ;trzos;czrzos
čeršьňa;czereśnia;trzesznia
čerti;;czyrślić
červьjь;trzewik;
červo;trzewo;czrzewa
česati;czesać;czosać
česnikъ;czosnyk;
česnъ;;
česnъkъ;czosnek;
češuja;szczeszuja;
četa;czata;
četvьrtъ;czwarty;cztwarty
četvьrtъkъ;czwartek;
četyre;cztery;
čexъlъ;czecheł;czecheł
čeznǫti;czeznąć;
čędo;;czędo
čęstь;część;
čęstъ;częsty;
čęsťьjь;częstszy;
či;czy;
činiti;czynić;
činъ;czyn;
čislo;;czysło
čisti;;czyść
čistiti;czyścić;
čistostь;czystość;
čistъ;czysty;
čitati;czytać;
čitavъ;;
čitъ;;
čižь;czyż;
-čь;-icz;
čь;;cz
čьbanъ;dzban;czban
čьbьrъ;ceber;dżber
čьjь;czyj;
čьlnъ;czółn;czołn
čьmeľь;trzmiel;czmiel
čьrmьnъ;czermny;
čьrnobylь;;czarnobyl
čьrnъ;czarny;czarny
čьrnъ bogъ;;
čьrpati;czerpać;czyrpać
čьrstvъ;czerstwy;
čьrta;;
čьrtati;;
čьrtъ;czort;
čьrvenъ;czerwony;czerwiony
čьrvь;czerw;
čьsokolivěkъ;cokolwiek;cokolwiek
čьstiti;czcić;czcić
čьstь;cześć;
čьstьnota;cnota;czsnota
čьstьnъ;czesny;czstny
čьto;co;czso
čьvati;;
čьvorъ;;
čǫbьrъ;cząber;
čubъ;czub;
čuditi;;
čudlo;;
čudo;cud;czud
čudъ;;
čuka;;
čukati;;
čukъ;;
čula;;
čupъ;czup;
čuti;czuć;
čuvьstvo;;
čuxati;;
čuxъ;czuch;
da;da;da
daďь bože;daj Boże;
Daďьbogъ;Dadźbog;dadzibog
dajati;;dajać
dalekъ;daleki;
dalь;dal;
danь;;dań
darovati;darować;
darъ;dar;
dateľь;;
dati;dać;dać (dacz)
dativъ;;
davati;dawać;
daviti;dławić;dawić
davьnъ;dawny;
debelъ;;
debnǫti;;
degъtь;dziegieć;
delěti;;
delto;;
dereza;;
dernъ;dereń;
derti;drzeć;
dervo;drzewo;
desętь;dziesięć;
desętъ;dziesiąty;
desiti;;
desnъ;;
deševъ;;
devęsilъ;dziewięćsił;
devętь;dziewięć;
devętъ;dziewiąty;
dědъ;dziad;
děgati;dziagać;
dějati;;
dělati;działać;
děliti;dzielić;
dělitьba;;
dělo;dzieło;działo
dělъ;dział;
děľa;dla;dziela
děra;;
dětę;dziecko;
děti;dziać;dziać
dětь;;
dětьca;;
děva;dziwka;dziewa
děverь;dziewierz;dziewierz
děverьja;;
děvica;dziewica;
děža;dzieża;
dęgľь;dzięgiel;
